2025-06-25 23:18:13.683 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskExecutor'
2025-06-25 23:18:14.584 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2025-06-25 23:18:14.605 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 2 custom documentation plugin(s)
2025-06-25 23:18:14.655 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2025-06-25 23:18:15.371 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2025-06-25 23:18:15.385 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-20002"]
2025-06-25 23:18:15.413 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 20002 (http) with context path ''
2025-06-25 23:18:15.417 [main] INFO  com.zbkj.pc.CrmebPcApplication - Started CrmebPcApplication in 24.316 seconds (JVM running for 24.867)
2025-06-25 23:18:17.003 [http-nio-20002-exec-1] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1750642704,1750732318,1750812600] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2025-06-25 23:18:17.012 [http-nio-20002-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-25 23:18:17.012 [http-nio-20002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-25 23:18:17.025 [http-nio-20002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 13 ms
2025-06-25 23:21:28.006 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'taskExecutor'
2025-06-25 23:21:28.083 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2025-06-25 23:21:37.631 [main] INFO  com.zbkj.pc.CrmebPcApplication - Starting CrmebPcApplication on macdeMacBook-Pro.local with PID 8245 (/Users/mac/tool/商城装修系统/finance/finance-pc/target/classes started by mac in /Users/mac/tool/商城装修系统/finance/finance-pc)
2025-06-25 23:21:37.632 [main] INFO  com.zbkj.pc.CrmebPcApplication - No active profile set, falling back to default profiles: default
2025-06-25 23:21:39.892 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-06-25 23:21:39.895 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-25 23:21:39.923 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2025-06-25 23:21:42.239 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 20002 (http)
2025-06-25 23:21:42.252 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-20002"]
2025-06-25 23:21:42.253 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-06-25 23:21:42.253 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2025-06-25 23:21:42.573 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2025-06-25 23:21:42.579 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-25 23:21:42.580 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4883 ms
2025-06-25 23:21:57.315 [main] INFO  c.a.c.config.AjCaptchaServiceAutoConfiguration - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='classpath:images/jigsaw', picClick='classpath:images/pic-click', waterMark='CRMEB Java', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='2', cacheNumber='1000', timingClear='3600', cacheType=redis, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=360, reqGetMinuteLimit=30, reqCheckMinuteLimit=60, reqVerifyMinuteLimit=60}
